filename,year,addressee,letter_text
wikisource_vol1_ch4_letter16,1880,CHARLES BAXTER,"<p>Letter: TO CHARLES BAXTER</p>
<p><br></p>
<p>608 BUSH STREET, SAN FRANCISCO, JAN. 26, '80</p>
<p>MY DEAR CHARLES, - I have to drop from a 50 cent. to a 25 cent. dinner; to-day begins my fall. That brings down my outlay in food and drink to 45 cents., or 1s. 10 and a half d. per day. How are the mighty fallen! Luckily, this is such a cheap place for food; I used to pay as much as that for my first breakfast in the Savile in the grand old palmy days of yore. I regret nothing, and do not even dislike these straits, though the flesh will rebel on occasion. It is to-day bitter cold, after weeks of lovely warm weather, and I am all in a chitter. I am about to issue for my little shilling and halfpenny meal, taken in the middle of the day, the poor man's hour; and I shall eat and drink to your prosperity. - Ever yours,</p>
<p>R. L. S.</p>"
wikisource_vol1_ch4_letter17,1880,SIDNEY COLVIN,"<p>Letter: TO SIDNEY COLVIN</p>
<p><br></p>
<p>608 BUSH STREET, SAN FRANCISCO, CALIFORNIA [JANUARY 1880].</p>
<p>MY DEAR COLVIN, - I received this morning your long letter from Paris. Well, God's will be done; if it's dull, it's dull; it was a fair fight, and it's lost, and there's an end. But, fortunately, dulness is not a fault the public hates; perhaps they may like this vein of dulness. If they don't, damn them, we'll try them with another. I sat down on the back of your letter, and wrote twelve Cornhill pages this day as ever was of that same despised EMIGRANT; so you see my moral courage has not gone down with my intellect. Only, frankly, Colvin, do you think it a good plan to be so eminently descriptive, and even eloquent in dispraise? You rolled such a lot of polysyllables over me that a better man than I might have been disheartened. - However, I was not, as you see, and am not. The EMIGRANT shall be finished and leave in the course of next week. And then, I'll stick to stories. I am not frightened. I know my mind is changing; I have been telling you so for long; and I suppose I am fumbling for the new vein. Well, I'll find it.</p>
<p>The VENDETTA you will not much like, I dare say: and that must be finished next; but I'll knock you with THE FOREST STATE: A ROMANCE.</p>
<p>I'm vexed about my letters; I know it is painful to get these unsatisfactory things; but at least I have written often enough. And not one soul ever gives me any NEWS, about people or things; everybody writes me sermons; it's good for me, but hardly the food necessary for a man who lives all alone on forty-five cents. a day, and sometimes less, with quantities of hard work and many heavy thoughts. If one of you could write me a letter with a jest in it, a letter like what is written to real people in this world - I am still flesh and blood - I should enjoy it. Simpson did, the other day, and it did me as much good as a bottle of wine. A lonely man gets to feel like a pariah after awhile - or no, not that, but like a saint and martyr, or a kind of macerated clergyman with pebbles in his boots, a pillared Simeon, I'm damned if I know what, but, man alive, I want gossip.</p>
<p>My health is better, my spirits steadier, I am not the least cast down. If THE EMIGRANT was a failure, the PAVILION, by your leave, was not: it was a story quite adequately and rightly done, I contend; and when I find Stephen, for whom certainly I did not mean it, taking it in, I am better pleased with it than before. I know I shall do better work than ever I have done before; but, mind you, it will not be like it. My sympathies and interests are changed. There shall be no more books of travel for me. I care for nothing but the moral and the dramatic, not a jot for the picturesque or the beautiful other than about people. It bored me hellishly to write the EMIGRANT; well, it's going to bore others to read it; that's only fair.</p>
<p>I should also write to others; but indeed I am jack-tired, and must go to bed to a French novel to compose myself for slumber. - Ever your affectionate friend,</p>
<p>R. L. S.</p>"
wikisource_vol1_ch4_letter18,1880,W. E. HENLEY,"<p>Letter: TO W. E. HENLEY</p>
<p><br></p>
<p>608 BUSH STREET, SAN FRANCISCO, CAL., FEBRUARY 1880.</p>
<p>MY DEAR HENLEY, - Before my work or anything I sit down to answer your long and kind letter.</p>
<p>I am well, cheerful, busy, hopeful; I cannot be knocked down; I do not mind about the EMIGRANT. I never thought it a masterpiece. It was written to sell, and I believe it will sell; and if it does not, the next will. You need not be uneasy about my work; I am only beginning to see my true method.</p>
<p>(1) As to STUDIES. There are two more already gone to Stephen. YOSHIDA TORAJIRO, which I think temperate and adequate; and THOREAU, which will want a really Balzacian effort over the proofs. But I want BENJAMIN FRANKLIN AND THE ART OF VIRTUE to follow; and perhaps also WILLIAM PENN, but this last may be perhaps delayed for another volume - I think not, though. The STUDIES will be an intelligent volume, and in their latter numbers more like what I mean to be my style, or I mean what my style means to be, for I am passive. (2) The ESSAYS. Good news indeed. I think ORDERED SOUTH must be thrown in. It always swells the volume, and it will never find a more appropriate place. It was May 1874, Macmillan, I believe. (3) PLAYS. I did not understand you meant to try the draft. I shall make you a full scenario as soon as the EMIGRANT is done. (4) EMIGRANT. He shall be sent off next week. (5) Stories. You need not be alarmed that I am going to imitate Meredith. You know I was a Story-teller ingrain; did not that reassure you? The VENDETTA, which falls next to be finished, is not entirely pleasant. But it has points. THE FOREST STATE or THE GREENWOOD STATE: A ROMANCE, is another pair of shoes. It is my old Semiramis, our half-seen Duke and Duchess, which suddenly sprang into sunshine clearness as a story the other day. The kind, happy DENOUEMENT is unfortunately absolutely undramatic, which will be our only trouble in quarrying out the play. I mean we shall quarry from it. CHARACTERS - Otto Frederick John, hereditary Prince of Grunwald; Amelia Seraphina, Princess; Conrad, Baron Gondremarck, Prime Minister; Cancellarius Greisengesang; Killian Gottesacker, Steward of the River Farm; Ottilie, his daughter; the Countess von Rosen. Seven in all. A brave story, I swear; and a brave play too, if we can find the trick to make the end. The play, I fear, will have to end darkly, and that spoils the quality as I now see it of a kind of crockery, eighteenth century, high-life-below- stairs life, breaking up like ice in spring before the nature and the certain modicum of manhood of my poor, clever, feather-headed Prince, whom I love already. I see Seraphina too. Gondremarck is not quite so clear. The Countess von Rosen, I have; I'll never tell you who she is; it's a secret; but I have known the countess; well, I will tell you; it's my old Russian friend, Madame Z. Certain scenes are, in conception, the best I have ever made, except for HESTER NOBLE. Those at the end, Von Rosen and the Princess, the Prince and Princess, and the Princess and Gondremarck, as I now see them from here, should be nuts, Henley, nuts. It irks me not to go to them straight. But the EMIGRANT stops the way; then a reassured scenario for HESTER; then the VENDETTA; then two (or three) Essays - Benjamin Franklin, Thoughts on Literature as an Art, Dialogue on Character and Destiny between two Puppets, The Human Compromise; and then, at length - come to me, my Prince. O Lord, it's going to be courtly! And there is not an ugly person nor an ugly scene in it. The SLATE both Fanny and I have damned utterly; it is too morbid, ugly, and unkind; better starvation.</p>
<p>R. L. S.</p>"
wikisource_vol1_ch4_letter19,1880,SIDNEY COLVIN,"<p>Letter: TO SIDNEY COLVIN</p>
<p><br></p>
<p>608 BUSH STREET, SAN FRANCISCO, [MARCH 1880].</p>
<p>MY DEAR COLVIN, - My landlord and landlady's little four-year-old child is dying in the house; and O, what he has suffered. It has really affected my health. O never, never any family for me! I am cured of that.</p>
<p>I have taken a long holiday - have not worked for three days, and will not for a week; for I was really weary. Excuse this scratch; for the child weighs on me, dear Colvin. I did all I could to help; but all seems little, to the point of crime, when one of these poor innocents lies in such misery. - Ever yours,</p>
<p>R. L. S.</p>"
wikisource_vol1_ch4_letter20,1880,EDMUND GOSSE,"<p>Letter: TO EDMUND GOSSE</p>
<p><br></p>
<p>SAN FRANCISCO, CAL., APRIL 16 [1880].</p>
<p>MY DEAR GOSSE, - You have not answered my last; and I know you will repent when you hear how near I have been to another world. For about six weeks I have been in utter doubt; it was a toss-up for life or death all that time; but I won the toss, sir, and Hades went off once more discomfited. This is not the first time, nor will it be the last, that I have a friendly game with that gentleman. I know he will end by cleaning me out; but the rogue is insidious, and the habit of that sort of gambling seems to be a part of my nature; it was, I suspect, too much indulged in youth; break your children of this tendency, my dear Gosse, from the first. It is, when once formed, a habit more fatal than opium - I speak, as St. Paul says, like a fool. I have been very very sick; on the verge of a galloping consumption, cold sweats, prostrating attacks of cough, sinking fits in which I lost the power of speech, fever, and all the ugliest circumstances of the disease; and I have cause to bless God, my wife that is to be, and one Dr. Bamford (a name the Muse repels), that I have come out of all this, and got my feet once more upon a little hilltop, with a fair prospect of life and some new desire of living. Yet I did not wish to die, neither; only I felt unable to go on farther with that rough horseplay of human life: a man must be pretty well to take the business in good part. Yet I felt all the time that I had done nothing to entitle me to an honourable discharge; that I had taken up many obligations and begun many friendships which I had no right to put away from me; and that for me to die was to play the cur and slinking sybarite, and desert the colours on the eve of the decisive fight. Of course I have done no work for I do not know how long; and here you can triumph. I have been reduced to writing verses for amusement. A fact. The whirligig of time brings in its revenges, after all. But I'll have them buried with me, I think, for I have not the heart to burn them while I live. Do write. I shall go to the mountains as soon as the weather clears; on the way thither, I marry myself; then I set up my family altar among the pinewoods, 3000 feet, sir, from the disputatious sea. - I am, dear Weg, most truly yours,</p>
<p>R. L. S.</p>"
wikisource_vol1_ch4_letter21,1880,DR. W. BAMFORD,"<p>Letter: TO DR. W. BAMFORD</p>
<p><br></p>
<p>[SAN FRANCISCO, APRIL 1880.]</p>
<p>MY DEAR SIR, - Will you let me offer you this little book? If I had anything better, it should be yours. May you not dislike it, for it will be your own handiwork if there are other fruits from the same tree! But for your kindness and skill, this would have been my last book, and now I am in hopes that it will be neither my last nor my best.</p>
<p>You doctors have a serious responsibility. You recall a man from the gates of death, you give him health and strength once more to use or to abuse. I hope I shall feel your responsibility added to my own, and seek in the future to make a better profit of the life you have renewed me. - I am, my dear sir, gratefully yours,</p>
<p>ROBERT LOUIS STEVENSON.</p>"
wikisource_vol1_ch4_letter22,1880,SIDNEY COLVIN,"<p>Letter: TO SIDNEY COLVIN</p>
<p><br></p>
<p>[SAN FRANCISCO, APRIL 1880.]</p>
<p>MY DEAR COLVIN, - You must be sick indeed of my demand for books, for you have seemingly not yet sent me one. Still, I live on promises: waiting for Penn, for H. James's HAWTHORNE, for my BURNS, etc.; and now, to make matters worse, pending your CENTURIES, etc., I do earnestly desire the best book about mythology (if it be German, so much the worse; send a bunctionary along with it, and pray for me). This is why. If I recover, I feel called on to write a volume of gods and demi-gods in exile: Pan, Jove, Cybele, Venus, Charon, etc.; and though I should like to take them very free, I should like to know a little about 'em to begin with. For two days, till last night, I had no night sweats, and my cough is almost gone, and I digest well; so all looks hopeful. However, I was near the other side of Jordan. I send the proof of THOREAU to you, so that you may correct and fill up the quotation from Goethe. It is a pity I was ill, as, for matter, I think I prefer that to any of my essays except Burns; but the style, though quite manly, never attains any melody or lenity. So much for consumption: I begin to appreciate what the EMIGRANT must be. As soon as I have done the last few pages of the EMIGRANT they shall go to you. But when will that be? I know not quite yet - I have to be so careful. - Ever yours,</p>
<p>R. L. S.</p>"
wikisource_vol1_ch4_letter23,1880,SIDNEY COLVIN,"<p>Letter: TO SIDNEY COLVIN</p>
<p><br></p>
<p>[SAN FRANCISCO, APRIL 1880.]</p>
<p>MY DEAR COLVIN, - My dear people telegraphed me in these words: 'Count on 250 pounds annually.' You may imagine what a blessed business this was. And so now recover the sheets of the EMIGRANT, and post them registered to me. And now please give me all your venom against it; say your worst, and most incisively, for now it will be a help, and I'll make it right or perish in the attempt. Now, do you understand why I protested against your depressing eloquence on the subject? When I HAD to go on any way, for dear life, I thought it a kind of pity and not much good to discourage me. Now all's changed. God only knows how much courage and suffering is buried in that MS. The second part was written in a circle of hell unknown to Dante - that of the penniless and dying author. For dying I was, although now saved. Another week, the doctor said, and I should have been past salvation. I think I shall always think of it as my best work. There is one page in Part II., about having got to shore, and sich, which must have cost me altogether six hours of work as miserable as ever I went through. I feel sick even to think of it. - Ever your friend,</p>
<p>R. L. S.</p>"
wikisource_vol1_ch4_letter24,1880,SIDNEY COLVIN,"<p>Letter: TO SIDNEY COLVIN</p>
<p><br></p>
<p>[SAN FRANCISCO, MAY 1880.]</p>
<p>MY DEAR COLVIN, - I received your letter and proof to-day, and was greatly delighted with the last.</p>
<p>I am now out of danger; in but a short while (I.E. as soon as the weather is settled), F. and I marry and go up to the hills to look for a place; 'I to the hills will lift mine eyes, from whence doth come mine aid': once the place found, the furniture will follow. There, sir, in, I hope, a ranche among the pine-trees and hard by a running brook, we are to fish, hunt, sketch, study Spanish, French, Latin, Euclid, and History; and, if possible, not quarrel. Far from man, sir, in the virgin forest. Thence, as my strength returns, you may expect works of genius. I always feel as if I must write a work of genius some time or other; and when is it more likely to come off, than just after I have paid a visit to Styx and go thence to the eternal mountains? Such a revolution in a man's affairs, as I have somewhere written, would set anybody singing. When we get installed, Lloyd and I are going to print my poetical works; so all those who have been poetically addressed shall receive copies of their addresses. They are, I believe, pretty correct literary exercises, or will be, with a few filings; but they are not remarkable for white-hot vehemence of inspiration; tepid works! respectable versifications of very proper and even original sentiments: kind of Hayleyistic, I fear - but no, this is morbid self-depreciation. The family is all very shaky in health, but our motto is now 'Al Monte!' in the words of Don Lope, in the play the sister and I are just beating through with two bad dictionaries and an insane grammar.</p>
<p>I to the hills. - Yours ever,</p>
<p>R. L. S.</p>"
wikisource_vol1_ch4_letter25,1880,C. W. STODDARD,"<p>Letter: TO C. W. STODDARD</p>
<p><br></p>
<p>EAST OAKLAND, CAL., MAY 1880.</p>
<p>MY DEAR STODDARD, - I am guilty in thy sight and the sight of God. However, I swore a great oath that you should see some of my manuscript at last; and though I have long delayed to keep it, yet it was to be. You re-read your story and were disgusted; that is the cold fit following the hot. I don't say you did wrong to be disgusted, yet I am sure you did wrong to be disgusted altogether. There was, you may depend upon it, some reason for your previous vanity, as well as your present mortification. I shall hear you, years from now, timidly begin to retrim your feathers for a little self-laudation, and trot out this misdespised novelette as not the worst of your performances. I read the album extracts with sincere interest; but I regret that you spared to give the paper more development; and I conceive that you might do a great deal worse than expand each of its paragraphs into an essay or sketch, the excuse being in each case your personal intercourse; the bulk, when that would not be sufficient, to be made up from their own works and stories. Three at least - Menken, Yelverton, and Keeler - could not fail of a vivid human interest. Let me press upon you this plan; should any document be wanted from Europe, let me offer my services to procure it. I am persuaded that there is stuff in the idea.</p>
<p>Are you coming over again to see me some day soon? I keep returning, and now hand over fist, from the realms of Hades: I saw that gentleman between the eyes, and fear him less after each visit. Only Charon, and his rough boatmanship, I somewhat fear.</p>
<p>I have a desire to write some verses for your album; so, if you will give me the entry among your gods, goddesses, and godlets, there will be nothing wanting but the Muse. I think of the verses like Mark Twain; sometimes I wish fulsomely to belaud you; sometimes to insult your city and fellow-citizens; sometimes to sit down quietly, with the slender reed, and troll a few staves of Panic ecstasy - but fy! fy! as my ancestors observed, the last is too easy for a man of my feet and inches.</p>
<p>At least, Stoddard, you now see that, although so costive, when I once begin I am a copious letter-writer. I thank you, and AU REVOIR.</p>
<p>ROBERT LOUIS STEVENSON.</p>"
wikisource_vol1_ch4_letter26,1880,SIDNEY COLVIN,"<p>Letter: TO SIDNEY COLVIN</p>
<p><br></p>
<p>[SAN FRANCISCO, MAY 1880.]</p>
<p>MY DEAR COLVIN, - It is a long while since I have heard from you; nearly a month, I believe; and I begin to grow very uneasy. At first I was tempted to suppose that I had been myself to blame in some way; but now I have grown to fear lest some sickness or trouble among those whom you love may not be the impediment. I believe I shall soon hear; so I wait as best I can. I am, beyond a doubt, greatly stronger, and yet still useless for any work, and, I may say, for any pleasure. My affairs and the bad weather still keep me here unmarried; but not, I earnestly hope, for long. Whenever I get into the mountain, I trust I shall rapidly pick up. Until I get away from these sea fogs and my imprisonment in the house, I do not hope to do much more than keep from active harm. My doctor took a desponding fit about me, and scared Fanny into blue fits; but I have talked her over again. It is the change I want, and the blessed sun, and a gentle air in which I can sit out and see the trees and running water: these mere defensive hygienics cannot advance one, though they may prevent evil. I do nothing now, but try to possess my soul in peace, and continue to possess my body on any terms.</p>
<p>CALISTOGA, NAPA COUNTY, CALIFORNIA.</p>
<p>All which is a fortnight old and not much to the point nowadays. Here we are, Fanny and I, and a certain hound, in a lovely valley under Mount Saint Helena, looking around, or rather wondering when we shall begin to look around, for a house of our own. I have received the first sheets of the AMATEUR EMIGRANT; not yet the second bunch, as announced. It is a pretty heavy, emphatic piece of pedantry; but I don't care; the public, I verily believe, will like it. I have excised all you proposed and more on my own movement. But I have not yet been able to rewrite the two special pieces which, as you said, so badly wanted it; it is hard work to rewrite passages in proof; and the easiest work is still hard to me. But I am certainly recovering fast; a married and convalescent being.</p>
<p>Received James's HAWTHORNE, on which I meditate a blast, Miss Bird, Dixon's PENN, a WRONG CORNHILL (like my luck) and COQUELIN: for all which, and especially the last, I tender my best thanks. I have opened only James; it is very clever, very well written, and out of sight the most inside-out thing in the world; I have dug up the hatchet; a scalp shall flutter at my belt ere long. I think my new book should be good; it will contain our adventures for the summer, so far as these are worth narrating; and I have already a few pages of diary which should make up bright. I am going to repeat my old experiment, after buckling-to a while to write more correctly, lie down and have a wallow. Whether I shall get any of my novels done this summer I do not know; I wish to finish the VENDETTA first, for it really could not come after PRINCE OTTO. Lewis Campbell has made some noble work in that Agamemnon; it surprised me. We hope to get a house at Silverado, a deserted mining-camp eight miles up the mountain, now solely inhabited by a mighty hunter answering to the name of Rufe Hansome, who slew last year a hundred and fifty deer. This is the motto I propose for the new volume: 'VIXERUNT NONNULLI IN AGRIS, DELECTATI RE SUA FAMILIARI. HIS IDEM PROPOSITUM FUIT QUOD REGIBUS, UT NE QUA RE EGERENT, NE CUI PARERENT, LIBERTATE UTERENTUR; CUJUS PROPRIUM EST SIC VIVERE UT VELIS.' I always have a terror lest the wish should have been father to the translation, when I come to quote; but that seems too plain sailing. I should put REGIBUS in capitals for the pleasantry's sake. We are in the Coast Range, that being so much cheaper to reach; the family, I hope, will soon follow. - Love to all, ever yours,</p>
<p>R. L. S.</p>
</div>"
wikisource_vol1_ch5_letter1,1880,A. G. DEW-SMITH,"<div class=""prose"">
<p><br>
Letter: TO A. G. DEW-SMITH</p>
<p><br></p>
<p>[HOTEL BELVEDERE, DAVOS, NOVEMBER 1880.]</p>
<p>Figure me to yourself, I pray - A man of my peculiar cut - Apart from dancing and deray, Into an Alpine valley shut;</p>
<p>Shut in a kind of damned Hotel, Discountenanced by God and man; The food? - Sir, you would do as well To cram your belly full of bran.</p>
<p>The company? Alas, the day That I should dwell with such a crew, With devil anything to say, Nor any one to say it to!</p>
<p>The place? Although they call it Platz, I will be bold and state my view; It's not a place at all - and that's The bottom verity, my Dew.</p>
<p>There are, as I will not deny, Innumerable inns; a road; Several Alps indifferent high; The snow's inviolable abode;</p>
<p>Eleven English parsons, all Entirely inoffensive; four True human beings - what I call Human - the deuce a cipher more;</p>
<p>A climate of surprising worth; Innumerable dogs that bark; Some air, some weather, and some earth; A native race - God save the mark! -</p>
<p>A race that works, yet cannot work, Yodels, but cannot yodel right, Such as, unhelp'd, with rusty dirk, I vow that I could wholly smite.</p>
<p>A river that from morn to night Down all the valley plays the fool; Not once she pauses in her flight, Nor knows the comfort of a pool;</p>
<p>But still keeps up, by straight or bend, The selfsame pace she hath begun - Still hurry, hurry, to the end - Good God, is that the way to run?</p>
<p>If I a river were, I hope That I should better realise The opportunities and scope Of that romantic enterprise.</p>
<p>I should not ape the merely strange, But aim besides at the divine; And continuity and change I still should labour to combine.</p>
<p>Here should I gallop down the race, Here charge the sterling like a bull; There, as a man might wipe his face, Lie, pleased and panting, in a pool.</p>
<p>But what, my Dew, in idle mood, What prate I, minding not my debt? What do I talk of bad or good? The best is still a cigarette.</p>
<p>Me whether evil fate assault, Or smiling providences crown - Whether on high the eternal vault Be blue, or crash with thunder down -</p>
<p>I judge the best, whate'er befall, Is still to sit on one's behind, And, having duly moistened all, Smoke with an unperturbed mind.</p>
<p>R. L. S.</p>"
wikisource_vol1_ch5_letter2,1880,THOMAS STEVENSON,"<p>Letter: TO THOMAS STEVENSON</p>
<p><br></p>
<p>[HOTEL BELVEDERE], DAVOS, DECEMBER 12 [1880].</p>
<p>MY DEAR FATHER, - Here is the scheme as well as I can foresee. I begin the book immediately after the '15, as then began the attempt to suppress the Highlands.</p>
<p>I. THIRTY YEARS' INTERVAL</p>
<p>(1) Rob Roy. (2) The Independent Companies: the Watches. (3) Story of Lady Grange. (4) The Military Roads, and Disarmament: Wade and (5) Burt.</p>
<p>II. THE HEROIC AGE</p>
<p>(1) Duncan Forbes of Culloden. (2) Flora Macdonald. (3) The Forfeited Estates; including Hereditary Jurisdictions; and the admirable conduct of the tenants.</p>
<p>III. LITERATURE HERE INTERVENES</p>
<p>(1) The Ossianic Controversy. (2) Boswell and Johnson. (3) Mrs. Grant of Laggan.</p>
<p>IV. ECONOMY</p>
<p>(1) Highland Economics. (2) The Reinstatement of the Proprietors. (3) The Evictions. (4) Emigration. (5) Present State.</p>
<p>V. RELIGION</p>
<p>(1) The Catholics, Episcopals, and Kirk, and Soc. Prop. Christ. Knowledge. (2) The Men. (3) The Disruption.</p>
<p>All this, of course, will greatly change in form, scope, and order; this is just a bird's-eye glance. Thank you for BURT, which came, and for your Union notes. I have read one-half (about 900 pages) of Wodrow's CORRESPONDENCE, with some improvement, but great fatigue. The doctor thinks well of my recovery, which puts me in good hope for the future. I should certainly be able to make a fine history of this.</p>
<p>My Essays are going through the press, and should be out in January or February. - Ever affectionate son,</p>
<p>R. L. S.</p>"
wikisource_vol1_ch5_letter3,1880,EDMUND GOSSE,"<p>Letter: TO EDMUND GOSSE</p>
<p><br></p>
<p>HOTEL BELVEDERE, DAVOS PLATZ [DEC. 6, 1880].</p>
<p>MY DEAR WEG, - I have many letters that I ought to write in preference to this; but a duty to letters and to you prevails over any private consideration. You are going to collect odes; I could not wish a better man to do so; but I tremble lest you should commit two sins of omission. You will not, I am sure, be so far left to yourself as to give us no more of Dryden than the hackneyed St. Cecilia; I know you will give us some others of those surprising masterpieces where there is more sustained eloquence and harmony of English numbers than in all that has been written since; there is a machine about a poetical young lady, and another about either Charles or James, I know not which; and they are both indescribably fine. (Is Marvell's Horatian Ode good enough? I half think so.) But my great point is a fear that you are one of those who are unjust to our old Tennyson's Duke of Wellington. I have just been talking it over with Symonds; and we agreed that whether for its metrical effects, for its brief, plain, stirring words of portraiture, as - he 'that never lost an English gun,' or - the soldier salute; or for the heroic apostrophe to Nelson; that ode has never been surpassed in any tongue or time. Grant me the Duke, O Weg! I suppose you must not put in yours about the warship; you will have to admit worse ones, however. - Ever yours,</p>
<p>R. L. S.</p>"
wikisource_vol1_ch5_letter4,1880,EDMUND GOSSE,"<p>Letter: TO EDMUND GOSSE</p>
<p><br></p>
<p>[HOTEL BELVEDERE], DAVOS, DEC. 19, 1880.</p>
<p>This letter is a report of a long sederunt, also steterunt in small committee at Davos Platz, Dec. 15, 1880.</p>
<p>Its results are unhesitatingly shot at your head.</p>
<p>MY DEAR WEG, - We both insist on the Duke of Wellington. Really it cannot be left out. Symonds said you would cover yourself with shame, and I add, your friends with confusion, if you leave it out. Really, you know it is the only thing you have, since Dryden, where that irregular odic, odal, odous (?) verse is used with mastery and sense. And it's one of our few English blood-boilers.</p>
<p>(2) Byron: if anything: PROMETHEUS.</p>
<p>(3) Shelley (1) THE WORLD'S GREAT AGE from Hellas; we are both dead on. After that you have, of course, THE WEST WIND thing. But we think (1) would maybe be enough; no more than two any way.</p>
<p>(4) Herrick. MEDDOWES and COME, MY CORINNA. After that MR. WICKES: two any way.</p>
<p>(5) Leave out stanza 3rd of Congreve's thing, like a dear; we can't stand the 'sigh' nor the 'peruke.'</p>
<p>(6) Milton. TIME and the SOLEMN MUSIC. We both agree we would rather go without L'Allegro and Il Penseroso than these; for the reason that these are not so well known to the brutish herd.</p>
<p>(7) Is the ROYAL GEORGE an ode, or only an elegy? It's so good.</p>
<p>(8) We leave Campbell to you.</p>
<p>(9) If you take anything from Clough, but we don't either of us fancy you will, let it be COME BACK.</p>
<p>(10) Quite right about Dryden. I had a hankering after THRENODIA AUGUSTALIS; but I find it long and with very prosaic holes: though, O! what fine stuff between whiles.</p>
<p>(11) Right with Collins.</p>
<p>(12) Right about Pope's Ode. But what can you give? THE DYING CHRISTIAN? or one of his inimitable courtesies? These last are fairly odes, by the Horatian model, just as my dear MEDDOWES is an ode in the name and for the sake of Bandusia.</p>
<p>(13) Whatever you do, you'll give us the Greek Vase.</p>
<p>(14) Do you like Jonson's 'loathed stage'? Verses 2, 3, and 4 are so bad, also the last line. But there is a fine movement and feeling in the rest.</p>
<p>We will have the Duke of Wellington by God. Pro Symonds and Stevenson.</p>
<p>R. L. S.</p>"
wikisource_vol1_ch5_letter5,1880,CHARLES WARREN STODDARD,"<p>Letter: TO CHARLES WARREN STODDARD</p>
<p><br></p>
<p>HOTEL BELVEDERE, DAVOS PLATZ, SWITZERLAND [DECEMBER 1880].</p>
<p>DEAR CHARLES WARREN STODDARD, - Many thanks to you for the letter and the photograph. Will you think it mean if I ask you to wait till there appears a promised cheap edition? Possibly the canny Scot does feel pleasure in the superior cheapness; but the true reason is this, that I think to put a few words, by way of notes, to each book in its new form, because that will be the Standard Edition, without which no g.'s l. will be complete. The edition, briefly, SINE QUA NON. Before that, I shall hope to send you my essays, which are in the printer's hands. I look to get yours soon. I am sorry to hear that the Custom House has proved fallible, like all other human houses and customs. Life consists of that sort of business, and I fear that there is a class of man, of which you offer no inapt type, doomed to a kind of mild, general disappointment through life. I do not believe that a man is the more unhappy for that. Disappointment, except with one's self, is not a very capital affair; and the sham beatitude, 'Blessed is he that expecteth little,' one of the truest, and in a sense, the most Christlike things in literature.</p>
<p>Alongside of you, I have been all my days a red cannon ball of dissipated effort; here I am by the heels in this Alpine valley, with just so much of a prospect of future restoration as shall make my present caged estate easily tolerable to me - shall or should, I would not swear to the word before the trial's done. I miss all my objects in the meantime; and, thank God, I have enough of my old, and maybe somewhat base philosophy, to keep me on a good understanding with myself and Providence.</p>
<p>The mere extent of a man's travels has in it something consolatory. That he should have left friends and enemies in many different and distant quarters gives a sort of earthly dignity to his existence. And I think the better of myself for the belief that I have left some in California interested in me and my successes. Let me assure you, you who have made friends already among such various and distant races, that there is a certain phthisical Scot who will always be pleased to hear good news of you, and would be better pleased by nothing than to learn that you had thrown off your present incubus, largely consisting of letters I believe, and had sailed into some square work by way of change.</p>
<p>And by way of change in itself, let me copy on the other pages some broad Scotch I wrote for you when I was ill last spring in Oakland. It is no muckle worth: but ye should na look a gien horse in the moo'. - Yours ever,</p>
<p>R. L. STEVENSON.</p>"
wikisource_vol1_ch5_letter6,1880,MR. AND MRS. THOMAS STEVENSON,"<p>Letter: TO MR. AND MRS. THOMAS STEVENSON</p>
<p><br></p>
<p>DECEMBER 21, 1880. DAVOS.</p>
<p>MY DEAR PEOPLE, - I do not understand these reproaches. The letters come between seven and nine in the evening; and every one about the books was answered that same night, and the answer left Davos by seven o'clock next morning. Perhaps the snow delayed then; if so, 'tis a good hint to you not to be uneasy at apparent silences. There is no hurry about my father's notes; I shall not be writing anything till I get home again, I believe. Only I want to be able to keep reading AD HOC all winter, as it seems about all I shall be fit for. About John Brown, I have been breaking my heart to finish a Scotch poem to him. Some of it is not really bad, but the rest will not come, and I mean to get it right before I do anything else.</p>
<p>The bazaar is over, 160 pounds gained, and everybody's health lost: altogether, I never had a more uncomfortable time; apply to Fanny for further details of the discomfort.</p>
<p>We have our Wogg in somewhat better trim now, and vastly better spirits. The weather has been bad - for Davos, but indeed it is a wonderful climate. It never feels cold; yesterday, with a little, chill, small, northerly draught, for the first time, it was pinching. Usually, it may freeze, or snow, or do what it pleases, you feel it not, or hardly any.</p>
<p>Thanks for your notes; that fishery question will come in, as you notice, in the Highland Book, as well as under the Union; it is very important. I hear no word of Hugh Miller's EVICTIONS; I count on that. What you say about the old and new Statistical is odd. It seems to me very much as if I were gingerly embarking on a HISTORY OF MODERN SCOTLAND. Probably Tulloch will never carry it out. And, you see, once I have studied and written these two vols., THE TRANSFORMATION OF THE SCOTTISH HIGHLANDS and SCOTLAND AND THE UNION, I shall have a good ground to go upon. The effect on my mind of what I have read has been to awaken a livelier sympathy for the Irish; although they never had the remarkable virtues, I fear they have suffered many of the injustices, of the Scottish Highlanders. Ruedi has seen me this morning; he says the disease is at a standstill, and I am to profit by it to take more exercise. Altogether, he seemed quite hopeful and pleased. - I am your ever affectionate son,</p>
<p>R. L S.</p>"
